"","comuna","2011","2012","2013","2014","2015","2016","2017","2018","2022","class","prob1","prob2"
"1","Aisén",0.062874251497006,0.2217125382263,0.537688442211055,0.196988707653701,0.165236051502146,0.680805938494168,0.377690802348337,0.243452958292919,0.547805642633229,"1",0.908,0.092
"2","Algarrobo",NA,0.103734439834025,0.243190661478599,0.332743362831858,0.213008130081301,0.200617283950617,0.147192716236722,0.155862068965517,0.04839968774395,"1",1,0
"3","Alhué",NA,NA,NA,NA,NA,NA,NA,NA,0.153078202995008,"1",0.998,0.002
"4","Alto Hospicio",0.129770992366412,0.342474489795918,0.257685858021241,0.252028397565923,0.278301886792453,0.184037558685446,0.154136917261655,0.122694768535943,0.0609665427509294,"1",1,0
"5","Ancud",0.127425614489004,0.157703927492447,0.0865603644646925,0.0933977455716586,0.107738998482549,0.205335874225822,0.0803362914525922,0.288215200683177,0.182085648904871,"1",0.999,0.001
"6","Andacollo",NA,NA,NA,NA,NA,0.881057268722467,0.881632653061225,0.791187739463602,0.530935251798561,"2",0.003,0.997
"7","Angol",0.19553706505295,0.520752039730401,0.512021672875042,0.230504227998747,0.514088729016787,0.391988950276243,0.497793926810278,0.35919395465995,0.539140271493213,"1",0.918,0.082
"8","Antofagasta",0.0286880598707336,0.0509342977697408,0.0993862388284699,0.0779017079121645,0.102316437302334,0.109762181939132,0.187526588956011,0.270751953125,0.250818122318377,"1",0.996,0.004
"9","Arauco",NA,0.286404416839199,0.269426751592357,0.480542452830189,0.311449579831933,0.246347607052897,0.41123701605288,0.394181135617081,0.416595744680851,"1",0.935,0.065
"10","Arica",0.306774193548387,0.475600766622438,0.262157022548221,0.273485902136806,0.301931791080372,0.249468144664651,0.293877551020408,0.242488834754365,0.336975132490828,"1",0.987,0.013
"11","Buin",0.298507462686567,0.533128415300546,0.176838810641628,0.294367393150297,0.345544554455446,0.142857142857143,0.334404406701859,0.291539467945922,0.630410022779043,"1",0.924,0.076
"12","Bulnes",0.286012526096033,0.490142760027192,0.421854304635762,0.46615087040619,0.436430317848411,0.263661971830986,0.474706182933061,0.441632231404959,0.764033264033264,"2",0.152,0.848
"13","Cabildo",0.118446601941748,0.235955056179775,0.119718309859155,NA,NA,NA,0.215270413573701,0.216515609264854,0.327227310574521,"1",0.981,0.019
"14","Cabrero",0.150943396226415,0.301196808510638,0.454488778054863,0.62035010940919,0.497262319561971,0.402229447282861,0.598582188746123,0.763352506162695,0.672830188679245,"2",0.012,0.988
"15","Calama",0.190158465387823,0.197040498442368,0.190441708906589,0.128153380423814,0.135791366906475,0.117547329754168,0.114588591620394,0.206648070664807,0.296143847487002,"1",0.998,0.002
"16","Calbuco",0.332329317269076,0.512465373961219,0.192341941228851,0.847715736040609,0.814117647058824,0.816777041942605,0.818,0.740307692307692,0.670307845084409,"2",0.004,0.996
"17","Caldera",0.175166297117517,0.211072664359862,0.349579831932773,0.0312965722801788,0.368421052631579,0.259259259259259,0.467191601049869,0.128140703517588,0.426786953504511,"1",0.985,0.015
"18","Calera",0.0861035422343324,NA,NA,0.299765807962529,0.327475353621946,0.138061267310113,0.561304836895388,0.541509433962264,0.37192522138406,"1",0.942,0.058
"19","Calera de Tango",0.0461095100864553,0.147327249022164,0.025062656641604,0.672665916760405,0.476239669421488,0.465534465534466,0.357078449053201,0.364444444444444,0.332425068119891,"1",0.879,0.121
