"","comuna","2011","2012","2013","2014","2015","2016","2017","2018","2022"
"1","Aisén",0.419161676646707,0.414373088685015,0.511306532663317,0.35633626097867,0.350858369098712,0.399787910922587,0.404109589041096,0.387972841901067,0.369122257053292
"2","Algarrobo",NA,0.576763485477178,0.455252918287938,0.706194690265487,0.622764227642276,0.544753086419753,0.552352048558422,0.430344827586207,0.395784543325527
"3","Alhué",NA,NA,NA,NA,NA,NA,NA,NA,0.396006655574043
"4","Alto Hospicio",0.511450381679389,0.549744897959184,0.472330911123533,0.438133874239351,0.490566037735849,0.490140845070423,0.563208735825284,0.422280767783214,0.319206939281289
"5","Ancud",0.324062095730918,0.275528700906344,0.319476082004556,0.340311325818572,0.322711178553364,0.374940447832301,0.369920597851471,0.429547395388557,0.329192546583851
"6","Andacollo",NA,NA,NA,NA,NA,0.629955947136564,NA,0.528735632183908,0.326618705035971
"7","Angol",0.38767019667171,0.393047179851011,0.428377920758551,0.422486689633573,0.473920863309353,0.51878453038674,0.433168959252531,0.457430730478589,0.260859728506787
"8","Antofagasta",0.327814945005103,0.353023909985935,0.427694626897814,0.382363192750087,0.412257457902385,0.426575752536172,0.405088062622309,0.405436197916667,0.350374518216857
"9","Arauco",0.298749080206034,0.325051759834369,0.33312101910828,0.376179245283019,0.347163865546218,0.4,0.364022662889518,0.339277334584702,0.307234042553191
"10","Arica",0.434838709677419,0.461742591773552,0.489269220320565,0.477936528006069,0.484736465537801,0.47990146680103,0.414070891514501,0.420523751522534,0.314879739094986
"11","Buin",0.420822715689843,0.479508196721311,0.477308294209703,0.450325502405887,0.469554455445545,0.485667676532277,0.409685563461097,0.435673789795028,0.357251328777525
"12","Bulnes",0.511482254697286,0.460231135282121,0.474172185430464,0.486137975499678,0.492053789731051,0.454647887323944,0.409810935104752,0.402892561983471,0.323284823284823
"13","Cabildo",0.493203883495146,0.57784911717496,0.589201877934272,0.338064516129032,0.47182320441989,0.488541666666667,0.564156945917285,0.518630412890232,0.345545378850958
"14","Cabrero",0.663280116110305,0.652260638297872,0.67643391521197,0.605579868708972,0.554006968641115,0.555039479795634,0.536109880372175,0.498767460969597,0.330943396226415
"15","Calama",0.399499582985821,0.312694704049844,0.384503982621289,0.387823747056845,0.414568345323741,0.436564001130263,0.407874810701666,0.407717340771734,0.409662045060659
"16","Calbuco",0.433734939759036,0.450600184672207,0.457702582368655,0.422165820642978,0.44078431372549,0.415011037527594,0.372666666666667,0.362461538461538,0.350049652432969
"17","Caldera",0.441241685144124,0.3719723183391,0.425210084033613,0.338301043219076,0.334429824561404,0.377995642701525,0.468503937007874,0.458542713567839,0.302567661346287
"18","Calera",0.481198910081744,0.493032196059587,0.459386281588448,0.379391100702576,0.371624517788255,0.372219890893831,0.360329958755156,0.514339622641509,0.309609708101017
"19","Calera de Tango",0.353025936599424,0.288135593220339,0.305764411027569,0.323959505061867,0.395661157024793,0.446553446553447,0.305680793507665,0.322666666666667,0.331516802906449
"20","Calle Larga",NA,0.427312775330396,0.623015873015873,0.586538461538462,0.738362760834671,0.714697406340058,0.659060402684564,0.656962025316456,0.445770065075922
"21","Canela",NA,NA,NA,NA,NA,0.585253456221198,NA,0.716738197424893,0.397590361445783
"22","Cañete",0.395764394440768,0.449258160237389,0.4249857387336,0.433804290947148,0.356895699456253,0.347645429362881,0.311682650392328,0.302207130730051,0.294636556104446
"23","Carahue",0.572755417956656,0.537886872998933,0.539901477832512,0.527079303675048,0.515625,0.519591141396934,0.470098410295231,0.423452768729642,0.288597376387487
"24","Cartagena",0.404185022026432,0.465920651068159,0.536701620591039,0.420445177246496,0.428571428571429,0.440397350993377,0.395195195195195,0.217127071823204,0.273343009192066
"25","Casablanca",0.465222348916762,0.492864983534577,0.48014440433213,0.497061293031066,0.540094339622642,0.455668604651163,0.394826412525528,0.400399733510993,0.437774524158126
"26","Castro",0.551612903225806,0.411832946635731,0.388248215266337,0.434782608695652,0.487411883182276,0.459359033906177,0.438164045898853,0.436960985626283,0.385840707964602
"27","Catemu",0.403688524590164,0.414893617021277,0.437096774193548,0.385737439222042,0.333333333333333,0.371161548731642,0.36848792884371,0.353159851301115,0.25
"28","Cauquenes",0.316259678379988,0.293054771315641,0.365394402035623,0.374717832957111,0.420792079207921,0.486310299869622,0.386528028933092,0.380258225739275,0.388272033310201
"29","Cerrillos",0.542703944848717,0.627098789535338,0.517117117117117,0.500181093806592,0.474683544303797,0.350441501103753,0.368751635697461,0.3664,0.308920187793427
"30","Cerro Navia",0.393117408906883,0.382246376811594,0.368897234551041,0.349968112244898,0.349122276029056,0.39982451009067,0.362447318703677,0.336918526485614,0.352209540532631
"31","Chañaral",NA,NA,0.558333333333333,0.554806070826307,0.106976744186047,0.38740157480315,0.494752623688156,0.444078947368421,0.369770580296896
"32","Chanco",NA,NA,0.444444444444444,0.445945945945946,0.458333333333333,0.413988657844991,0.429032258064516,0.354992076069731,0.476245654692932
"33","Chépica",0.476595744680851,0.53014553014553,0.490601503759398,0.458844133099825,0.420974889217134,0.365644171779141,0.342857142857143,0.33641975308642,0.328571428571429
"34","Chiguayante",0.343518518518519,0.396838837143664,0.398882681564246,0.424904701397713,0.410594439117929,0.463808206546796,0.387844036697248,0.378028699129617,0.32093973442288
"35","Chillán",0.41692325236629,0.449212095400341,0.446817082997583,0.443781377285214,0.449796287913083,0.455598119449765,0.382959268495428,0.377748323717449,0.349518274965591
"36","Chillán Viejo",0.25,0.264358108108108,0.406671961874504,0.445906432748538,0.412820512820513,0.50307881773399,0.441128594682583,0.426078028747433,0.348571428571429
