"","comuna","2011","2012","2013","2014","2015","2016","2017","2018","2019","class","prob1","prob2"
"62","Curanilahue",0.14391353811149,0.433281813498197,0.192642787996128,0.276133209990749,0.444444444444444,0.099445155783184,0.51618189266694,0.520400307929176,0.612767450017538,"1",0.811,0.189
"63","Curepto",NA,0.258970358814353,0.254872563718141,0.298719772403983,0.0821917808219178,0.222222222222222,0.385441527446301,0.357482185273159,0.625,"1",0.954,0.046
"64","Curicó",0.0749744984699082,0.0562005721016322,0.263049341583373,0.350723763570567,0.210904480135249,0.25691857370942,0.241151845744006,0.186549239391513,0.129787463588305,"1",0.998,0.002
"65","Dalcahue",0.197278911564626,0.313253012048193,0.51004016064257,0.280612244897959,0.503852080123267,0.426829268292683,0.518134715025907,0.349323493234932,0.215102974828375,"1",0.891,0.109
"66","Diego de Almagro",NA,0.0559610705596107,NA,NA,0.223655913978495,0.212996389891697,0.395793499043977,0.312839059674503,0.198961937716263,"1",0.994,0.006
"67","Doñihue",0.231481481481481,0.216524216524217,0.318356867779204,0.243589743589744,0.399518652226233,0.338302752293578,0.424273858921162,0.527504911591356,0.626537785588752,"1",0.761,0.239
"68","El Bosque",0.0441843452816386,0.0602994738972076,0.105188175234477,0.102146814404432,0.224550898203593,0.160306112174001,0.289381119878315,0.271854425749817,0.243715457300767,"1",0.998,0.002
"69","El Carmen",0.554441260744986,0.667134831460674,0.746835443037975,0.677675033025099,0.803897685749086,0.713362068965517,0.401598401598402,0.797405189620758,0.542145593869732,"2",0.013,0.987
"70","El Monte",0.240760295670539,0.173254835996636,0.599836333878887,0.383248730964467,0.155794320798158,0.649135987978963,0.344470046082949,0.455713319810683,0.455340412242349,"1",0.789,0.211
"71","El Quisco",0.24585635359116,0.211267605633803,0.172972972972973,0.0635359116022099,0.512531328320802,0.241860465116279,0.288442211055276,0.328584149599288,0.38973063973064,"1",0.981,0.019
"72","El Tabo",0.0868055555555556,0.529837251356239,0.167721518987342,0.174382716049383,0.209335219236209,0.300136425648022,0.323232323232323,0.229787234042553,0.334201388888889,"1",0.989,0.011
"73","Ercilla",NA,NA,NA,NA,0.373831775700935,0.289029535864979,0.294243070362473,0.404452690166976,0.254025044722719,"1",0.966,0.034
"74","Estación Central",0.0235336712527154,0.0483494498166055,0.0137801440651425,0.102578634173987,0.133960345704118,0.117868044141817,0.342967244701349,0.0890181167524044,0.0083552160420148,"1",1,0
"75","Florida",0.272277227722772,0.325581395348837,0.722935779816514,0.66785079928952,0.336092715231788,0.758333333333333,0.572530864197531,0.667601683029453,0.635170603674541,"2",0.055,0.945
"76","Freire",0.565533980582524,0.348936170212766,0.390779363336992,0.255958549222798,0.382409177820268,0.101500441306267,0.121434392828036,0.0574886535552194,0.342857142857143,"1",0.994,0.006
"77","Freirina",NA,NA,NA,NA,NA,NA,NA,0.702078521939954,NA,"2",0.244,0.756
"78","Fresia",0.298611111111111,0.271364317841079,0.335235378031384,0.789017341040462,0.360433604336043,0.569811320754717,0.218457943925234,0.491544532130778,0.620653319283456,"1",0.507,0.493
"79","Frutillar",0.289106145251397,0.468058968058968,0.197802197802198,0.771834061135371,0.651162790697674,0.609375,0.683333333333333,0.677062374245473,0.698501872659176,"2",0.034,0.966
"80","Futrono",0.321060382916053,0.289719626168224,0.271704180064309,0.197869101978691,0.322459222082811,0.325728770595691,0.407954545454545,0.435010482180293,0.322463768115942,"1",0.952,0.048
"81","Galvarino",0.0195694716242661,0.366733466933868,0.275229357798165,0.331623931623932,0.803191489361702,0.0451807228915663,0.539017341040462,0.428381962864721,0.250945775535939,"1",0.916,0.084
"82","Gorbea",NA,0.257142857142857,0.263855421686747,0.00294695481335953,0.143261074458058,0.286311389759666,0.0805687203791469,0.131374243733794,0.213981244671782,"1",0.999,0.001
"83","Graneros",0.658303464755078,0.667049368541906,NA,0.577235772357724,0.153628652214892,0.397828232971372,0.0475799835931091,0.401626016260163,0.428911834789516,"1",0.881,0.119
"84","Hijuelas",NA,0.174311926605505,NA,NA,0.00185356811862836,0.0102389078498294,0.0381543921916593,0.491774891774892,0.442477876106195,"1",0.997,0.003
"85","Hualañé",0.00439882697947214,NA,0.00166944908180301,0.0124653739612188,0.142270861833105,0.197903014416776,0.178799489144317,0.204993429697766,0.078546307151231,"1",1,0
"86","Hualpén",0.254635352286774,0.364694701829413,0.415412769418463,0.412884043607532,0.332195472511678,0.207952087838962,0.140987896630684,0.22827804107425,0.137787378490974,"1",0.993,0.007
"87","Hualqui",0.0673316708229426,0.362459546925566,0.453428863868987,0.265360641139804,0.284572342126299,0.403918613413715,0.636918382913806,0.434311224489796,0.384389671361502,"1",0.825,0.175
"88","Huasco",0.0394431554524362,0.277013752455796,0.12810707456979,NA,0.11973018549747,0.305785123966942,0.324915824915825,0.400998336106489,0.52418096723869,"1",0.974,0.026
"89","Huechuraba",0.127595445411922,0.179305912596401,0.0717168581185967,0.367204899777283,0.329316216924286,0.235609756097561,0.299976673664567,0.328965205603253,0.473749227918468,"1",0.977,0.023
"90","Illapel",NA,0.553435114503817,0.040104620749782,0.394909688013136,0.360165975103734,0.342065868263473,0.205933682373473,0.15982312065698,0.463911165946946,"1",0.973,0.027
"91","Independencia",0.0973191333088505,0.0954561465304685,0.17845554834523,0.073013198539736,0.4316974054392,0.341715976331361,0.377804367334729,0.322505800464037,0.31766022949902,"1",0.985,0.015
"92","Iquique",0.22810188989318,0.237997796316701,0.211470546687385,0.144347372538793,0.188649178720275,0.176208433321906,0.238614423622942,0.36705235422156,0.195723498133273,"1",0.996,0.004
"93","Isla de Maipo",NA,0.0221300138312586,0.047741935483871,0.450117370892019,0.354605993340733,0.37027027027027,0.274527867342239,0.489202291758484,0.38136700043535,"1",0.961,0.039
"94","La Cisterna",0.254947613504075,0.157310704960836,0.224143451809158,0.400702987697715,0.333333333333333,0.41235167206041,0.384975305432805,0.383162439287642,0.486368593238822,"1",0.902,0.098
"95","La Cruz",NA,NA,0.397094430992736,0.145522388059701,NA,NA,0.778501628664495,NA,0.855054811205846,"2",0.123,0.877
"96","La Florida",0.334895711272557,0.453926850014176,0.536142646398563,0.393633686321198,0.408068011335223,0.399195171026157,0.588456266815574,0.531503863681395,0.498708253088449,"2",0.432,0.568
"97","La Granja",0.114625228519196,0.247714048212801,0.363779527559055,0.341929998582967,0.357259380097879,0.47842448569995,0.372525203449532,0.396642906415268,0.183389830508475,"1",0.956,0.044
"98","La Ligua",0.122254758418741,0.174031271244052,0.280580075662043,0.0466520307354555,NA,0.0112781954887218,0.520729684908789,0.571929824561404,0.488062442607897,"1",0.958,0.042
"99","La Pintana",0.244874274661509,0.269366641433258,0.374702239161505,0.490281246606581,0.362061980960097,0.342530922930542,0.396310155774084,0.378696676262758,0.28922778561354,"1",0.925,0.075
"100","La Reina",0.334237655995659,0.388447270800212,0.677290836653386,0.730662983425414,0.545758462181362,0.578067672238076,0.30048270313757,0.532525252525253,0.630245447347585,"2",0.162,0.838
"101","La Serena",0.326561784023217,0.454518736223365,0.336986681465039,0.318736630174909,0.386873920552677,0.251148369315572,0.198507800135655,0.314062664838063,0.479382972411747,"1",0.949,0.051
"102","La Unión",0.184604419101924,0.21584038694075,0.179354094579008,0.208095781071836,0.24560546875,0.510060832943379,0.36864406779661,0.290482076637824,0.233400402414487,"1",0.983,0.017
"103","Lago Ranco",0.659043659043659,0.481060606060606,0.441988950276243,0.458553791887125,0.521531100478469,0.605590062111801,0.755485893416928,0.452312138728324,0.647462277091907,"2",0.083,0.917
"104","Laja",0.220950704225352,0.289049919484702,0.353474320241692,0.437762237762238,0.560942760942761,0.458574181117534,0.496897913141568,0.824973319103522,0.618320610687023,"2",0.182,0.818
"105","Lampa",0.00927357032457496,0.0144654088050314,0.0340022296544036,0.0349237579931136,0.0710189677988531,0.0895883777239709,0.542471746263215,0.628823929299796,0.618162316767966,"1",0.971,0.029
"106","Lanco",0.443886097152429,0.496923076923077,0.433908045977011,0.46135831381733,0.422857142857143,0.258771929824561,0.551495016611296,0.539561487130601,0.313231323132313,"1",0.69,0.31
"107","Las Cabras",0.106430155210643,0.119838872104733,0.130712979890311,0.0149875104079933,0.270167427701674,0.0911680911680912,0.31201044386423,0.168525402726146,0.355060034305317,"1",0.998,0.002
"108","Las Condes",0.325402070940736,0.373022659256092,0.326373403608352,0.233547490883834,0.428708501247361,0.594086512137251,0.546030023512389,0.53829936753338,0.477097902097902,"1",0.542,0.458
"109","Lautaro",0.224548736462094,0.444993819530284,0.25706771860618,0.427414690572585,0.184490623416118,0.148655256723716,0.53422756706753,0.419395465994962,0.591274883523931,"1",0.861,0.139
"110","Lebu",0.573956121726822,0.380330123796424,0.373268698060942,0.192763157894737,0.430410790925812,0.1830900243309,0.387719298245614,0.415723981900453,0.388577827547592,"1",0.919,0.081
"111","Licantén",NA,0.456359102244389,0.430232558139535,0.377470355731225,0.37396694214876,0.463937621832359,0.485928705440901,0.668468468468468,0.593388429752066,"2",0.326,0.674
"112","Limache",NA,0.129593810444874,0.282088469905729,0.0870552611657835,0.301711840228245,0.165660051768766,0.187208527648235,0.238300935925126,0.153903903903904,"1",0.998,0.002
"113","Linares",0.131298162418494,0.336318407960199,0.0748635300233949,0.151507208387942,0.198321891685736,0.28132501200192,0.189234300020864,0.346496322106078,0.443579766536965,"1",0.99,0.01
"114","Litueche",NA,NA,NA,NA,0.462121212121212,0.465060240963855,0.704651162790698,0.6,0.657142857142857,"2",0.145,0.855
"115","Llaillay",NA,0.195550351288056,0.141814389989572,0.293153326904532,0.130240856378234,0.258680555555556,0.609053497942387,0.534053156146179,0.171052631578947,"1",0.973,0.027
"116","Llanquihue",0.264705882352941,0.42540494458653,0.337243401759531,0.564126394052045,0.511013215859031,0.463310580204778,0.457021276595745,0.311881188118812,0.245984784446323,"1",0.838,0.162
"117","Lo Barnechea",0.0371287128712871,0.0585893060295791,0.0833775889537971,0.372037914691943,0.329545454545455,0.571797076526225,0.323642582300128,0.318219291014015,0.537717601547389,"1",0.937,0.063
"118","Lo Espejo",NA,NA,NA,0.0080567811241128,0.0536696377773563,0.11603299856528,0.210871944545786,0.220731707317073,0.291920216362407,"1",0.999,0.001
"119","Lo Prado",0.158348236059177,0.1509349289454,0.0446091455740456,0.0692808646251905,0.193103448275862,0.345212187159956,0.352925132960589,0.316372863247863,0.40931973667226,"1",0.99,0.01
"120","Lolol",NA,NA,NA,NA,0.735436893203884,0.687074829931973,0.792016806722689,0.378048780487805,0.869731800766284,"2",0.016,0.984
"121","Loncoche",NA,0.299465240641711,0.00306435137895812,0.00281954887218045,0.152046783625731,0.0120772946859903,0.0373376623376623,0.251127819548872,0.157549234135667,"1",1,0
"122","Longaví",0.247659574468085,0.21773612112473,0.354098360655738,NA,0.0258241758241758,0.103540772532189,0.265376984126984,0.325570342205323,0.768799102132436,"1",0.965,0.035
"123","Lonquimay",NA,NA,NA,NA,NA,NA,NA,0.326683291770574,0.075187969924812,"1",0.987,0.013
"124","Los Álamos",0.471458773784355,0.452695829094608,0.280547409579668,0.413855970829535,0.000865051903114187,0.433884297520661,0.241167434715822,0.0582800284292822,0.226925746009715,"1",0.993,0.007
"125","Los Andes",0.112299465240642,0.111407859595574,0.0928702010968921,0.03086014445174,0.221212121212121,0.200984651028092,0.178737713398862,0.357010336602173,0.142712806264208,"1",0.999,0.001
"126","Los Ángeles",0.284798404331101,0.228048168590065,0.200975145677251,0.270291219134094,0.268111518111518,0.374939338056877,0.532441471571906,0.478041883891491,0.411863190624253,"1",0.897,0.103
"127","Los Lagos",0.152486187845304,0.20594262295082,NA,0.38,0.268209083119109,0.474327628361858,0.556482183472327,0.517264725795532,0.795151515151515,"2",0.458,0.542
"128","Los Muermos",0.458267716535433,0.462466487935657,0.51593137254902,0.426616915422886,0.578784757981462,0.647954329210276,0.608617594254937,0.686206896551724,0.567818028643639,"2",0.073,0.927
"129","Los Sauces",NA,NA,NA,0.493857493857494,0.0111856823266219,0.15,0.800751879699248,0.351304347826087,NA,"1",0.895,0.105
"130","Los Vilos",0.469187675070028,0.348091603053435,0.415307402760351,0.235227272727273,0.329308452250274,0.231335436382755,0.555205047318612,0.581188997338066,0.429519071310116,"1",0.77,0.23
"131","Lota",0.177049180327869,0.251519756838906,0.198571428571429,0.0699860724233983,0.276744186046512,0.366954851104707,0.308014354066986,0.325050563420977,0.33887399463807,"1",0.986,0.014
"132","Lumaco",0.351485148514851,0.662790697674419,0.384615384615385,0.41044776119403,0.331081081081081,0.354632587859425,0.743323442136498,0.203081232492997,0.124,"1",0.899,0.101
"133","Machalí",0.531113058720421,0.421862348178138,0.516757599376461,0.373676248108926,NA,NA,0.431599229287091,0.687793427230047,0.633254716981132,"2",0.186,0.814
"134","Macul",0.0579890051427558,0.0898912348048624,0.154533273782939,0.133655839668279,0.390159112180773,0.42818039624609,0.12915491230222,0.298664792691497,0.444880952380952,"1",0.988,0.012
"135","Máfil",NA,NA,0.137055837563452,NA,0.231441048034935,0.485355648535565,0.778705636743215,0.4824016563147,0.794701986754967,"2",0.377,0.623
"136","Maipú",0.101429101707498,0.0965652433307764,0.068093533399345,0.163678712591756,0.203822885828292,0.0808109981515712,0.25983367048775,0.234625993834172,0.264179523141655,"1",0.998,0.002
"137","Malloa",0.0199335548172757,0.7696,0.0237037037037037,0.0946327683615819,0.138814016172507,0.136191677175284,0.195093457943925,0.0842572062084257,0.0932377049180328,"1",0.999,0.001
"138","Marchihue",NA,NA,NA,NA,0.494949494949495,0.621564482029598,0.482328482328482,0.782258064516129,0.637254901960784,"2",0.091,0.909
"139","María Pinto",NA,NA,NA,NA,0.111111111111111,0.129934210526316,0.197346600331675,0.0444444444444444,NA,"1",0.999,0.001
"140","Mariquina",0.428409090909091,0.114316239316239,0.245833333333333,0.142161635832522,0.277413308341143,0.323181049069374,0.481878088962109,0.579613095238095,0.657142857142857,"1",0.786,0.214
"141","Maule",NA,0.170361726954492,0.301176470588235,0.25,0.359111111111111,0.462882096069869,0.33356890459364,0.430625,0.507328072153326,"1",0.892,0.108
"142","Maullín",0.641904761904762,0.0909090909090909,0.181114551083591,0.662015503875969,0.459079283887468,0.30162703379224,0.610849056603774,0.645989304812834,0.560450819672131,"2",0.352,0.648
"143","Mejillones",NA,NA,NA,0.24317617866005,0.114107883817427,0.27027027027027,0.279106858054226,0.238172920065253,0.342857142857143,"1",0.993,0.007
"144","Melipilla",0.069410815173527,0.0291688177594218,0.0673994193280796,0.10188679245283,0.106620808254514,0.113032542053136,0.355154028436019,0.147894658532956,0.150985004410467,"1",0.999,0.001
"145","Molina",0.300991131977047,0.183289817232376,0.437851662404092,0.206649616368286,0.250333481547354,0.571750902527076,0.325188804975566,0.392553622015378,0.47296813462227,"1",0.894,0.106
"146","Monte Patria",0.016304347826087,0.192998204667864,0.178512396694215,0.242664551942902,0.207334273624824,0.30566534914361,0.419029615626969,0.162904209884076,0.251987767584098,"1",0.994,0.006
"147","Mostazal",NA,0.453781512605042,NA,NA,NA,0.500415627597672,0.348412698412698,0.099609375,0.487974683544304,"1",0.896,0.104
"148","Mulchén",0.248813559322034,0.258845437616387,0.296385542168675,0.546952224052718,0.507969151670951,0.479228486646884,0.582082551594747,0.547662694775435,0.62992125984252,"2",0.298,0.702
"149","Nacimiento",0.170356703567036,0.2,0.221873364730508,0.24446583253128,0.475576036866359,0.436012572968119,0.29680170575693,0.360050356693244,0.466098411468423,"1",0.933,0.067
"150","Nancagua",0.00609756097560976,0.159502262443439,0.117336152219873,0.392749244712991,0.246153846153846,0.333333333333333,0.372413793103448,0.477541371158392,0.618209640397858,"1",0.911,0.089
"151","Natales",0.0775075987841945,0.106990014265335,0.0372836218375499,0.388821385176185,0.410974244120941,0.246808510638298,0.281376518218623,0.411313518696069,0.316431924882629,"1",0.983,0.017
"152","Navidad",NA,NA,NA,NA,NA,NA,NA,NA,0.237254901960784,"1",0.952,0.048
"153","Negrete",0.527426160337553,0.435992578849722,NA,0.648522550544324,0.565028901734104,0.718875502008032,0.386392811296534,0.483796296296296,0.511111111111111,"2",0.183,0.817
"154","Ninhue",NA,NA,0.73019801980198,0.646191646191646,0.66304347826087,0.6,0.428571428571429,0.49288256227758,0.491577335375191,"2",0.105,0.895
"155","Ñiquén",0.415094339622642,0.655714285714286,0.683229813664596,0.739890710382514,0.742857142857143,0.696750902527076,0.633869441816462,0.595829991980754,0.705245628642798,"2",0.01,0.99
"156","Nogales",NA,0.0209471766848816,NA,0.268185801928133,0.366477272727273,0.351375332741792,0.471153846153846,0.414762741652021,0.437880104257168,"1",0.932,0.068
"157","Nueva Imperial",0.123572170301142,0.32078853046595,0.301405975395431,0.33442892358258,0.314716981132075,0.14105123087159,0.208308605341246,0.0817501439263097,0.37396265560166,"1",0.994,0.006
"158","Ñuñoa",0.0163616792249731,0.0823506289308176,0.092353876037436,0.345231455660904,0.33184274268679,0.394151417294582,0.336962643138727,0.327582902050987,0.309265516628134,"1",0.984,0.016
"159","Olivar",NA,0.242990654205607,0.246478873239437,0.135135135135135,0.321688500727802,0.383352872215709,0.504914004914005,0.38849765258216,0.739524348810872,"1",0.799,0.201
